config_dir,ee_cutoff,en_cutoff,een_cutoff,ee_order,en_order,een_order,species,CCSD(T)_energy_Ha,heat_energy_Ha,error_Ha,error_mHa
4.5_1_1_order_9_7_4,4.5,1.0,1.0,9,7,4,HF,-100.428202940521,-100.460908,0.03270505947899949,32.70505947899949
4.5_1_1_order_9_7_4,4.5,1.0,1.0,9,7,4,NH2,-55.855715829626,-55.880866,0.025150170373997582,25.150170373997582
4.5_1_1_order_9_7_4,4.5,1.0,1.0,9,7,4,NH3,-56.535188224465,-56.564955,0.02976677553499485,29.76677553499485
4.5_1_1_order_9_7_6,4.5,1.0,1.0,9,7,6,CH3,-39.817835862341,-39.836136,0.01830013765900418,18.30013765900418
4.5_1_1_order_9_7_6,4.5,1.0,1.0,9,7,6,F2,-199.467543010956,-199.532431,0.06488798904399573,64.88798904399573
4.5_1_1_order_9_7_6,4.5,1.0,1.0,9,7,6,HF,-100.437886736418,-100.460908,0.02302126358200951,23.02126358200951
4.5_1_1_order_9_7_6,4.5,1.0,1.0,9,7,6,NH2,-55.856802452065,-55.880866,0.02406354793500043,24.06354793500043
4.5_1_1_order_9_7_6,4.5,1.0,1.0,9,7,6,NH3,-56.536532433283,-56.564955,0.02842256671699772,28.42256671699772
4.5_1_1_order_9_9_2,4.5,1.0,1.0,9,9,2,CH3,-39.81177428041,-39.836136,0.024361719590004327,24.361719590004327
4.5_1_1_order_9_9_2,4.5,1.0,1.0,9,9,2,F2,-199.432412652548,-199.532431,0.1000183474519929,100.0183474519929
4.5_1_1_order_9_9_2,4.5,1.0,1.0,9,9,2,HF,-100.411899872099,-100.460908,0.04900812790100417,49.00812790100417
4.5_1_1_order_9_9_2,4.5,1.0,1.0,9,9,2,NH2,-55.847991757692,-55.880866,0.03287424230799729,32.87424230799729
4.5_1_1_order_9_9_2,4.5,1.0,1.0,9,9,2,NH3,-56.527037631616,-56.564955,0.03791736838400084,37.91736838400084
4.5_1_1_order_9_9_4,4.5,1.0,1.0,9,9,4,CH3,-39.817251264209,-39.836136,0.018884735791004914,18.884735791004914
4.5_1_1_order_9_9_4,4.5,1.0,1.0,9,9,4,F2,-199.46278708905,-199.532431,0.069643910949992,69.643910949992
4.5_1_1_order_9_9_4,4.5,1.0,1.0,9,9,4,HF,-100.428325847455,-100.460908,0.03258215254500385,32.58215254500385
4.5_1_1_order_9_9_4,4.5,1.0,1.0,9,9,4,NH2,-55.855721510571,-55.880866,0.025144489428996053,25.144489428996053
4.5_1_1_order_9_9_4,4.5,1.0,1.0,9,9,4,NH3,-56.535339253229,-56.564955,0.029615746771000317,29.615746771000317
4.5_1_1_order_9_9_6,4.5,1.0,1.0,9,9,6,CH3,-39.817910386193,-39.836136,0.018225613807004493,18.225613807004493
4.5_1_1_order_9_9_6,4.5,1.0,1.0,9,9,6,F2,-199.467609121308,-199.532431,0.06482187869201539,64.82187869201539
4.5_1_1_order_9_9_6,4.5,1.0,1.0,9,9,6,HF,-100.430862690809,-100.460908,0.030045309191010006,30.045309191010006
4.5_1_1_order_9_9_6,4.5,1.0,1.0,9,9,6,NH2,-55.856782139739,-55.880866,0.024083860260994072,24.083860260994072
4.5_1_1_order_9_9_6,4.5,1.0,1.0,9,9,6,NH3,-56.566036057317,-56.564955,-0.001081057317001921,-1.081057317001921
4.5_1_2_order_5_5_2,4.5,1.0,2.0,5,5,2,CH3,-39.815449546475,-39.836136,0.02068645352500198,20.68645352500198
4.5_1_2_order_5_5_2,4.5,1.0,2.0,5,5,2,F2,-199.470783854113,-199.532431,0.06164714588700804,61.64714588700804
4.5_1_2_order_5_5_2,4.5,1.0,2.0,5,5,2,HF,-100.429252350252,-100.460908,0.03165564974800361,31.65564974800361
4.5_1_2_order_5_5_2,4.5,1.0,2.0,5,5,2,NH2,-55.854509995012,-55.880866,0.026356004987995618,26.356004987995618
4.5_1_2_order_5_5_2,4.5,1.0,2.0,5,5,2,NH3,-56.534614276981,-56.564955,0.03034072301899471,30.34072301899471
4.5_1_2_order_5_5_4,4.5,1.0,2.0,5,5,4,CH3,-39.826229686146,-39.836136,0.009906313854003201,9.906313854003201
4.5_1_2_order_5_5_4,4.5,1.0,2.0,5,5,4,F2,-199.496929476856,-199.532431,0.03550152314400634,35.50152314400634
4.5_1_2_order_5_5_4,4.5,1.0,2.0,5,5,4,HF,-100.446079560104,-100.460908,0.01482843989600724,14.82843989600724
4.5_1_2_order_5_5_4,4.5,1.0,2.0,5,5,4,NH2,-55.867765386351,-55.880866,0.013100613648994397,13.100613648994397
4.5_1_2_order_5_5_4,4.5,1.0,2.0,5,5,4,NH3,-56.54971145087,-56.564955,0.015243549129998257,15.243549129998257
4.5_1_2_order_7_5_2,4.5,1.0,2.0,7,5,2,CH3,-39.813272625958,-39.836136,0.02286337404200367,22.86337404200367
4.5_1_2_order_7_5_2,4.5,1.0,2.0,7,5,2,F2,-199.436725126825,-199.532431,0.09570587317500667,95.70587317500667
4.5_1_2_order_7_5_2,4.5,1.0,2.0,7,5,2,HF,-100.413732869777,-100.460908,0.04717513022301034,47.17513022301034
4.5_1_2_order_7_5_2,4.5,1.0,2.0,7,5,2,NH2,-55.850004252469,-55.880866,0.030861747530998684,30.861747530998684
4.5_1_2_order_7_5_2,4.5,1.0,2.0,7,5,2,NH3,-56.529410675968,-56.564955,0.0355443240319957,35.5443240319957
4.5_1_2_order_7_5_4,4.5,1.0,2.0,7,5,4,CH3,-39.826442399368,-39.836136,0.009693600632004973,9.693600632004973
4.5_1_2_order_7_5_4,4.5,1.0,2.0,7,5,4,F2,-199.495957427532,-199.532431,0.03647357246799743,36.47357246799743
4.5_1_2_order_7_5_4,4.5,1.0,2.0,7,5,4,HF,-100.446094551465,-100.460908,0.014813448535008433,14.813448535008433
4.5_1_2_order_7_5_4,4.5,1.0,2.0,7,5,4,NH2,-55.867942324202,-55.880866,0.012923675797999579,12.923675797999579
4.5_1_2_order_7_5_4,4.5,1.0,2.0,7,5,4,NH3,-56.549795558822,-56.564955,0.01515944117799961,15.15944117799961
4.5_1_2_order_7_7_2,4.5,1.0,2.0,7,7,2,CH3,-39.813275697899,-39.836136,0.02286030210100165,22.86030210100165
4.5_1_2_order_7_7_2,4.5,1.0,2.0,7,7,2,F2,-199.436884607676,-199.532431,0.09554639232399609,95.54639232399609
4.5_1_2_order_7_7_2,4.5,1.0,2.0,7,7,2,HF,-100.413806238135,-100.460908,0.04710176186500803,47.10176186500803
4.5_1_2_order_7_7_2,4.5,1.0,2.0,7,7,2,NH2,-55.849921891014,-55.880866,0.030944108985998753,30.944108985998753
4.5_1_2_order_7_7_2,4.5,1.0,2.0,7,7,2,NH3,-56.529443194878,-56.564955,0.03551180512199892,35.51180512199892
4.5_1_2_order_7_7_4,4.5,1.0,2.0,7,7,4,CH3,-39.826379572008,-39.836136,0.009756427992002159,9.756427992002159
4.5_1_2_order_7_7_4,4.5,1.0,2.0,7,7,4,F2,-199.495642115727,-199.532431,0.03678888427299398,36.78888427299398
4.5_1_2_order_7_7_4,4.5,1.0,2.0,7,7,4,HF,-100.445945505751,-100.460908,0.014962494249004976,14.962494249004976
4.5_1_2_order_7_7_4,4.5,1.0,2.0,7,7,4,NH2,-55.868003350104,-55.880866,0.012862649896000278,12.862649896000278
4.5_1_2_order_7_7_4,4.5,1.0,2.0,7,7,4,NH3,-56.549833670833,-56.564955,0.015121329166994713,15.121329166994713
4.5_1_2_order_7_7_6,4.5,1.0,2.0,7,7,6,CH3,-39.828625154518,-39.836136,0.007510845482002537,7.510845482002537
4.5_1_2_order_7_7_6,4.5,1.0,2.0,7,7,6,F2,-199.499912259778,-199.532431,0.03251874022200241,32.51874022200241
4.5_1_2_order_7_7_6,4.5,1.0,2.0,7,7,6,HF,-100.449133053835,-100.460908,0.011774946165004962,11.774946165004962
4.5_1_2_order_7_7_6,4.5,1.0,2.0,7,7,6,NH2,-55.8704704187,-55.880866,0.010395581299995627,10.395581299995627
