project,system,basis,00,02a,02b,03,03_no_fci,04
g2_dfunc_projection_5z,O2,avdz,10,N/A,N/A,88,77.60,31.62
g2_dfunc_projection_5z,O2,avqz,114,N/A,N/A,3191,1140.00,361.02
g2_dfunc_projection_5z,O2,avtz,19,N/A,N/A,370,183.00,44.26
g2_dfunc_projection_5z,O2,pvdz,57,N/A,N/A,89,87.68,29.21
g2_dfunc_projection_5z,O2,pvqz,54,N/A,N/A,1726,617.00,130.81
g2_dfunc_projection_5z,O2,pvtz,26,N/A,N/A,223,160.00,42.57
g2_dfunc_projection_5z,O2S,avdz,104,N/A,N/A,539,503.80,28.70
g2_dfunc_projection_5z,O2_old,avdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,O2_old,avqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,O2_old,avtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,O2_old,pvdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,O2_old,pvqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,O2_old,pvtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,OCl,avdz,24,N/A,N/A,207,174.80,36.68
g2_dfunc_projection_5z,OS,avdz,24,N/A,N/A,247,214.10,35.19
g2_dfunc_projection_5z,P,avdz,4,N/A,N/A,47,44.78,24.76
g2_dfunc_projection_5z,P2,avdz,27,N/A,N/A,273,261.10,15.82
g2_dfunc_projection_5z,PH2,avdz,26,N/A,N/A,145,121.50,26.02
g2_dfunc_projection_5z,PH3,avdz,61,N/A,N/A,211,199.30,14.15
g2_dfunc_projection_5z,S,avdz,6,N/A,N/A,47,44.06,24.58
g2_dfunc_projection_5z,S2,avdz,27,N/A,N/A,281,233.60,38.94
g2_dfunc_projection_5z,Si,avdz,6,N/A,N/A,46,43.74,23.50
g2_dfunc_projection_5z,Si2,avdz,27,N/A,N/A,264,215.50,29.35
g2_dfunc_projection_5z,Si2H6,avdz,1064,N/A,N/A,1602,1412.00,39.40
g2_dfunc_projection_5z,SiH2,avdz,26,N/A,N/A,153,147.29,13.97
g2_dfunc_projection_5z,SiH2_triplet,avdz,25,N/A,N/A,152,128.80,25.64
g2_dfunc_projection_5z,SiH3,avdz,59,N/A,N/A,268,220.80,27.21
g2_dfunc_projection_5z,SiH4,avdz,120,N/A,N/A,325,303.10,15.55
g2_dfunc_projection_5z,SiO,avdz,24,N/A,N/A,201,192.97,15.09
g2_dfunc_projection_5z,old_Si2,avdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,old_Si2,avqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,old_Si2,avtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,old_Si2,pvdz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,old_Si2,pvqz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_projection_5z,old_Si2,pvtz,N/A,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,CH3Cl,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,CH4S,avdz,5,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,CS,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,Cl,avdz,2,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,Cl2,avdz,4,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,FCl,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,H2S,avdz,12,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,HCl,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,HOCl,avdz,3,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,Na,avdz,11,N/A,N/A,N/A,N/A,N/A
g2_dfunc_rhf,Na2,avdz,8,N/A,N/A,N/A,N/A,N/A
